Compound.Name,Cnum.u,O_C_ratio.u,OSc.u,cstar.u
1206_0924_blob_171,9.8801,0.603779428,-0.040785355,2.85132627
1129_1334_blob_1469,7.059833333,0.672148568,-0.22732703,4.265855533
1202_1412_blob_1459,11.95366667,0.550149487,-0.576941203,2.261883879
1202_1412_blob_1653,13.0867,0.398599299,-0.961806035,2.506725035
1206_0924_blob_838,16.65183333,0.564189135,-0.124194431,0.525270236
1128_1901_blob_1091,22.61616667,0.074118095,-1.516029782,-0.107556985
1202_0046_blob_2019,15.15713333,0.327381569,-1.061734118,1.668975207
1206_0924_blob_455,11.25773333,0.511287932,-0.459032662,2.488920725
1202_1412_blob_1671,13.35966667,0.516502746,-0.722482316,2.233413975
1205_0335_blob_831,6.5418,0.549732642,-0.022124696,3.759522996
1128_1901_blob_1635,9.0775,0.323270232,-0.95114919,4.23661199
1213_2145_blob_1416,10.24216667,0.54799299,-0.426597421,2.901602578
1202_1412_blob_656,12.783,0.376379112,-0.861519234,2.586440762
1221_0832_blob_993,9.7962,0.569982914,-0.391240823,2.942410076
1128_1901_blob_1501,13.6435,0.383448271,-1.046123162,2.496006954
1128_1901_blob_2095,15.36176667,0.384092819,-1.214680536,1.321826077
1128_1901_blob_1528,12.3382,0.183991771,-1.124612199,3.128133193
1206_0924_blob_291,20.4766,0.546974909,-0.232592287,-0.437062846
1221_0832_blob_1229,10.82466667,0.552637808,-0.54025343,2.844389539
1205_0335_blob_1100,10.68936667,0.55588076,-0.209089445,2.615900116
1129_1334_blob_1122,14.7682,0.509773054,-0.251430754,1.897469131
1221_0832_blob_643,8.2469,0.562155127,-0.422679908,3.319015291
1129_1334_blob_1376,9.692766667,0.566818887,-0.507526069,3.024953685
1205_0335_blob_1226,7.401333333,0.492631692,-0.437526212,4.324830829
1213_2145_blob_626,13.66423333,0.219649165,-1.22621323,2.832420716
1205_0335_blob_874,10.4465,0.603281658,-0.075626722,2.822343221
1128_1901_blob_1266,21.32393333,0.056666682,-1.738112307,0.66138025
1206_0924_blob_660,16.00053333,0.531330824,-0.262246107,0.879002471
1202_0046_blob_1040,10.13123333,0.571882499,-0.265383365,2.903264603
1206_0924_blob_50,10.53073333,0.59085698,-0.079599715,2.763031101
1202_1412_blob_1266,7.605033333,0.59049887,-0.400570726,3.793046977
1128_1901_blob_1284,14.25786667,0.456150675,-0.907078236,1.730966122
1202_1412_blob_817,11.92563333,0.394704608,-0.297616009,2.720574126
1129_1334_blob_1992,7.457066667,0.635949608,-0.729532873,4.554113292
1221_0832_blob_1273,13.66686667,0.37782675,-1.010885858,2.199250092
1206_0924_blob_613,20.5327,0.397031186,-0.399922583,0.016828736
1206_0924_blob_632,10.39866667,0.621282738,-0.131105152,2.62799143
1206_0924_blob_282,19.99116667,0.547244372,-0.294017527,-0.063700415
1128_1901_blob_933,22.81233333,0.320105913,-1.221704084,-0.85324105
1221_0832_blob_1353,7.394233333,0.611360321,-0.252694994,3.847275511
1202_1412_blob_1332,15.75473333,0.18360259,-1.42696995,2.216332035
1129_1334_blob_973,7.6157,0.64138742,-0.158087559,3.98871285
1221_0832_blob_1032,7.3076,0.639676688,-0.168711192,3.551987076
1206_0924_blob_1105,20.6081,0.534836908,-0.183613082,-0.422421181
1128_1901_blob_1447,17.24756667,0.106988531,-1.377480841,1.840361856
1221_0832_blob_1103,10.53016667,0.392322929,-1.256670158,4.157603932
1213_2145_blob_1269,8.265133333,0.50922603,-0.512757948,3.9278002
1128_1901_blob_1066,6.803333333,0.693138316,-0.073181496,3.881562491
1206_0924_blob_599,20.89653333,0.511548331,-0.296383304,-0.261362877
1128_1901_blob_2030,9.497366667,0.360024847,-0.862129884,3.95610187
1128_1901_blob_1030,13.97683333,0.324857131,-1.23701408,2.710256174
1206_0924_blob_271,12.05953333,0.549667131,-0.213575033,2.184887664
1128_1901_blob_844,8.111033333,0.382531805,-0.798036492,4.224079047
1206_0924_blob_254,21.02543333,0.542958483,-0.221388265,-1.115808551
1206_0924_blob_1020,21.1414,0.536030614,-0.330315131,-0.551058658
1216_0703_blob_1454,14.92426667,0.464177545,-1.393401521,1.592812015
1202_0046_blob_1105,7.973466667,0.57981612,-0.626491389,3.411373534
1128_1901_blob_1331,6.691833333,0.437029629,-0.373036979,4.537402697
1128_2052_blob_1276,9.157033333,0.426922231,-0.867427339,3.84895151
1128_1901_blob_1869,9.921466667,0.477444844,-0.835962281,3.298379387
1128_1901_blob_1136,19.3894,0.55752535,-1.28814748,0.821801958
1128_1901_blob_1431,7.9191,0.367346197,-0.901599091,3.769753421
1128_1901_blob_1248,8.347133333,0.541102127,-0.529760799,3.62067466
1128_1901_blob_955,13.73066667,0.355226933,-0.781017466,1.36521972
1213_2145_blob_1604,15.25913333,0.406291805,-1.34580331,1.471844093
1216_0703_blob_1132,9.512633333,0.596112883,-0.166775525,2.942591582
1129_1334_blob_1427,9.347966667,0.424759619,-0.983483816,4.035299963
1128_1901_blob_1219,21.8571,0.362127416,-0.995354642,-0.323076807
1129_1334_blob_1662,8.486966667,0.391414649,-0.898036897,3.909514758
1202_0046_blob_2020,12.15986667,0.566949649,-0.646940439,2.377312582
1206_0924_blob_274,12.01266667,0.450468725,-0.271797992,2.138995884
1128_1901_blob_1085,7.3052,0.6084251,-0.565653154,3.583404969
1129_1334_blob_1768,10.03313333,0.498527202,-0.884142514,4.199013151
1206_0924_blob_286,8.878833333,0.557164762,-0.073020573,3.152568611
1128_1901_blob_1234,9.4407,0.577557264,-0.342362896,2.926933148
1129_1334_blob_1143,12.80493333,0.370817981,-0.968923683,2.518112996
1128_1901_blob_1079,12.3007,0.487317204,-1.062347259,3.112656269
1128_1901_blob_1043,8.084166667,0.527691577,-0.604961854,4.407895585
1202_1412_blob_1333,10.10256667,0.389902631,-1.034639604,4.405247461
1202_1412_blob_589,10.64866667,0.216869869,-1.032906179,3.625333371
1128_1901_blob_1253,8.199133333,0.534106926,-0.458646322,3.73248373
1129_1334_blob_1177,13.63143333,0.507815889,-0.446616965,2.056900581
1202_1412_blob_1438,9.3946,0.409943898,-1.045842721,3.50420688
1129_1334_blob_1651,12.2429,0.523862079,-0.916946392,2.483949113
1129_1334_blob_1779,7.2899,0.708487624,-0.178592419,3.909514758
1206_0924_blob_382,15.1509,0.403152152,-0.314666204,1.275891823
1221_0832_blob_1119,6.9079,0.609507075,-0.239548061,3.795717213
1202_1412_blob_1013,8.662266667,0.626126672,-0.642720566,3.98871285
1216_0703_blob_1077,11.32443333,0.476018839,-0.673658493,2.803521419
1129_1334_blob_1331,6.869066667,0.707232043,-0.19481945,3.918832182
1221_2326_blob_741,16.57606667,0.161682995,-1.364357976,2.00223837
1221_0832_blob_29,10.48246667,0.41157888,-0.827818972,3.17972295
1221_0832_blob_1033,13.33043333,0.287460323,-1.445271649,2.60191769
1206_0924_blob_65,8.406966667,0.589340655,0.131065486,3.116211779
1202_1412_blob_1566,9.9641,0.448712995,-0.986284427,3.611357239
1128_1901_blob_1075,10.16366667,0.381243197,-1.117130125,3.84895151
1129_1334_blob_1817,11.7765,0.344157935,-0.734547183,2.66898437
1129_1334_blob_1109,9.198933333,0.553755275,-0.570712432,3.231312706
1128_1901_blob_1624,14.26933333,0.478158786,-0.856615698,1.862970308
1129_1334_blob_1577,7.482766667,0.411554233,-0.302554353,4.27421083
1221_0832_blob_1296,12.14233333,0.538491177,-0.649711477,2.244801936
1221_0832_blob_686,11.9047,0.373597992,-1.126688167,3.066225489
1205_0335_blob_27,21.60756667,0.33646154,-0.452901818,-1.045747376
1202_1412_blob_1709,13.67076667,0.541208924,-0.51227292,1.78700591
1202_0046_blob_1325,9.703966667,0.562248038,-0.507983039,3.126599447
1128_1901_blob_912,9.854933333,0.36679989,-0.995602274,4.859081645
1128_1901_blob_1589,10.88296667,0.141780927,-1.475035311,3.862927645
1206_0924_blob_702,16.04113333,0.533077949,-0.387604812,0.872199929
1221_2326_blob_858,11.01903333,0.425921125,-0.852725198,3.247511889
1206_0924_blob_635,6.465433333,0.690851504,0.161575504,3.482456698
1221_0832_blob_1266,9.365866667,0.638267312,-0.202236653,2.947569052
1129_1334_blob_870,10.26863333,0.174429344,-0.827197047,3.588063683
